id,name,countryCode,masl,lon,lat
SN253920,KÄLLSJÖ,SE,154.0,12.7042,57.2323
SN42490,FV42 HADDELANDSHEIA,NO,470.0,7.0787,58.5047
SN284900,SALLA KK MYLLYTIE,FI,215.0,28.6741666666667,66.8341666666667
SN283500,INARI NELLIM,FI,121.0,28.2994444444444,68.8491666666667
SN48070,E39 STORDABRUA,NO,20.0,5.4025,59.7465
SN206405,SAITTAROVA D,SE,240.0,22.2433,67.3345
SN256540,OSKARSHAMN,SE,20.0,16.4149,57.2674
SN19710,ASKER,NO,163.0,10.4358,59.8558
SN232980,LOBONÄS D,SE,220.0,15.3444,61.5338
SN69190,RV705 SELBUSKOGEN,NO,330.0,11.0887,63.338
SN1650,STRØMSFOSS SLUSE,NO,113.0,11.6599,59.3006
SN297900,KOKAR BOGSKAR,FI,4.0,20.3555555555556,59.5055555555556
SN702700,CAEN-CARPIQUET,FR,78.0,-0.456111111111111,49.18
SN240830,BENGTSFORS D,SE,125.0,12.2326,59.0459
SN43010,EIK - HOVE,NO,65.0,6.5045,58.507
SN262910,MARKARYD,SE,110.0,13.6191,56.4595
SN89233,FV86 ANDSVANNET,NO,170.0,18.2972,69.0917
SN228700,HOLMON,SE,6.0,20.8644444444444,63.8069444444444
SN81930,STORSTILLA,NO,565.0,15.973,67.0129
SN252000,SATENAS,SE,54.0,12.7138888888889,58.4288888888889
SN6003000,LAS PALMAS DE GRAN CANARIA/GANDO,ES,24.0,-15.3894444444444,27.9225
SN91180,LENANGSSTRAUMEN,NO,45.0,20.1387,69.8915
SN15951,RV15 BREIDALEN II,NO,929.0,7.3927,62.0107
SN16265,E6 ROSTEN,NO,380.0,9.4153,61.8783
SN48061,FV542 BREMNES,NO,13.0,5.1872,59.7973
SN297200,TURKU AIRPORT,FI,45.0,22.2791666666667,60.5155555555556
SN2280200,SORTAVALA,RU,17.0,30.7166666666667,61.7166666666667
SN9303,E6 HJERKINN,NO,1025.0,9.5317,62.2318
SN1300,FV220 HOLENE BRU,NO,114.0,11.4468,59.24
SN201300,RITSEM,SE,542.0,17.4712,67.727
SN626000,DE BILT AWS,NL,2.0,5.17972222222222,52.0988888888889
SN3480,E18 MELLEBY,NO,158.0,11.4535,59.546
SN1054800,MEININGEN,DE,450.0,10.377062,50.561752
SN91727,ARNØYHAMN,NO,10.0,20.6315,70.0537
SN26780,SOLBERGELVA - OLLEVEIEN,NO,54.0,10.0582,59.7655
SN647900,KLEINE BROGEL,BE,61.0,5.46277777777778,51.1688888888889
SN251300,GOTEBORG,SE,2.0,11.9925,57.7155555555556
SN857500,BRAGANCA (8575-0),PT,691.0,-6.74277777777778,41.8038888888889
SN44580,STAVANGER - MADLA,NO,15.0,5.6697,58.9482
SN4781,GARDERMOEN SØR,NO,202.0,11.0743,60.1883
SN59680,ØRSTA-VOLDA LUFTHAMN,NO,74.0,6.078056927162791,62.180413205637954
SN45675,RV13 ÅRDAL,NO,5.0,6.1737,59.1497
SN209590,TÄRENDÖ D,SE,165.0,22.6287,67.1661
SN1724000,ISPARTA,TR,997.0,30.567912,37.784833
SN78350,BARDAL,NO,39.0,13.3917,66.2178
SN39520,RV9 MOISUND,NO,121.0,7.7772,58.4909
SN374600,BOSCOMBE DOWN,GB,124.0,-1.75472222222222,51.1616666666667
SN41090,MANDAL III,NO,10.0,7.4517,58.0247
SN280100,ENONTEKIO KILPISJARVI,FI,480.0,20.7911111111111,69.0494444444444
SN3005,E6 INGEDAL,NO,40.0,11.2075,59.1778
SN211905,KVIKKJOKK-ÅRRENJARKA,SE,314.0,18.0226,66.8834
SN99380,KIRKENES LUFTHAVN - HØYDE 212,NO,212.0,29.8695,69.71
SN60640,VALLDAL - MURI,NO,2.0,7.2525,62.297
SN92750,HASVIK LUFTHAVN,NO,6.0,22.1457,70.4865
SN87950,GRATANGEN - ÅMUNDSVIKA,NO,1.0,17.3388,68.7252
SN1031500,MUENSTER/OSNABRUECK,DE,48.0,7.69694444444444,52.1344444444444
SN1250000,JELENIA GORA,PL,342.0,15.7888888888889,50.9002777777778
SN44562,ULLANDHAUG,NO,30.0,5.69005,58.93355
SN23550,BEITOSTØLEN II,NO,965.0,8.9228,61.2508
SN86290,GIMSØY - ÅRRSTRANDA,NO,9.0,14.113,68.3052
SN26852,DRAMMEN - BRAGERNES SKOLE,NO,65.0,10.2258,59.7487
SN53480,KLEVAVATNET,NO,960.0,7.2085,60.7192
SN46850,HUNDSEID I VIKEDAL,NO,159.0,5.9948,59.5553
SN30288,SKIEN - KJØRBEKKSVINGEN,NO,9.0,9.6297,59.1768
SN30261,PORSGRUNN,NO,10.0,9.6385,59.1353
SN226520,BREDBYN D,SE,80.0,18.0717,63.4612
SN218490,SKRÖVEN D,SE,150.0,21.8444,66.7757
SN3300800,BREST,BY,146.0,23.6858,52.1167
SN76780,SANDNESSJØEN - ÅSEN,NO,73.0,12.612,66.014
SN32540,RV36 ULEFOSS,NO,50.0,9.2802,59.2728
SN88650,SENJA - BOTNHAMN,NO,20.0,17.8708,69.5015
SN25165,RV52 HEMSEDALSFJELLET,NO,1130.0,8.1557,60.9757
SN12210,ARSTADTAJET,NO,225.0,11.1333,60.767
SN32890,HØYDALSMO II,NO,560.0,8.1992,59.497
SN60945,ÅLESUND IV,NO,15.0,6.2108,62.4703
SN69100,VÆRNES,NO,12.0,10.9305,63.4597
SN292400,AHTARI MYLLYMAKI,FI,159.0,24.2172222222222,62.535
SN210200,STEKENJOKK,SE,1036.0,14.5086111111111,65.0944444444444
SN68840,STUGUDAL - KÅSEN,NO,730.0,11.8626,62.89515
SN24600,GRIMELI I KRØDSHERAD,NO,367.0,9.5958,60.137
SN60810,LEBERGSFJELLET,NO,625.0,6.8717,62.5158
SN99990,TROLL I ANTARKTIS,AQ,1310.0,2.5408,-72.012
SN37600,FV355 VEUM,NO,326.0,8.0895,59.2842
SN266400,RONNEBY-BREDAKRA,SE,58.0,15.2680555555556,56.2669444444444
SN53160,JORDALEN - NÅSEN,NO,614.0,6.7243,60.9004
SN30282,SKIEN - RØDMYRLIA,NO,98.0,9.6017,59.1702
SN29600,TUNHOVD,NO,870.0,8.7511,60.4629
SN631000,VLISSINGEN AWS,NL,8.0,3.59583333333333,51.4413888888889
SN18170,OSLO - ØSTENSJØ,NO,123.0,10.8368,59.8955
SN11450,MINNESUND JERNBANESTASJON,NO,143.0,11.2302,60.3943
